單字,翻譯,英文例句,中文例句,単字
accommodate,容納；提供膳宿,The hotel can accommodate up to 200 guests.,這家飯店最多可容納200位客人。,
accomplish,完成；達成,She accomplished all her tasks before the deadline.,她在截止日期前完成了所有任務。,
accrue,累積；增大,Interest will accrue on the account monthly.,該帳戶的利息將每月累積。,
agenda,議程,The meeting agenda includes budget review and planning.,會議議程包括預算審查與規劃。,
allocate,分配；撥給,They allocated funds for the new project.,他們為新專案撥款。,
annual,年度的,The annual report was published in March.,年度報告在三月發佈。,
applicant,申請人,Each applicant must submit a resume and cover letter.,每位申請人都必須提交履歷和求職信。,
asset,資產；財產,Real estate is often a valuable asset.,不動產通常是寶貴的資產。,
attendee,參加者,Over 200 attendees joined the seminar.,超過200名參加者參加了研討會。,
audit,審計；稽核,The company will undergo an external audit next month.,公司將於下月接受外部審計。,
authorization,授權；許可,You need authorization to access this system.,你需要授權才能存取此系統。,
automate,自動化,The factory plans to automate its production line.,工廠計劃自動化其生產線。,
benchmark,基準；標竿,Sales figures served as a benchmark for performance.,銷售數字作為績效的基準。,
brochure,小冊子；簡介,Please review the product brochure for details.,請查看產品簡介以了解詳情。,
budget,預算,We need to stick to the marketing budget.,我們需要遵守行銷預算。,
candidate,候選人,All candidates will be interviewed tomorrow.,所有候選人將於明天接受面試。,
capacity,容量；能力,The conference room has a seating capacity of 50.,會議室的座位容量為50人。,
certificate,證書；證明,You will receive a certificate upon completion.,完成後你將獲得證書。,
collaborate,合作；協作,The two teams will collaborate on the project.,兩個團隊將在此專案上合作。,
colleague,同事,I discussed the proposal with my colleagues.,我和同事們討論了提案。,
commodity,商品,Gold is considered a valuable commodity.,黃金被視為珍貴的商品。,
compensation,補償；薪酬,Employees expect fair compensation for overtime.,員工期望獲得公平的加班補償。,
compile,編輯；彙編,Please compile the data into a single report.,請將資料彙編成一份報告。,
comply,遵守,All staff must comply with company policies.,所有員工必須遵守公司政策。,
concept,概念,The concept of sustainability is crucial.,可持續發展的概念至關重要。,
conference,會議；研討會,She presented at the international conference.,她在國際研討會上發表演講。,
confirm,確認；證實,Please confirm your attendance by Monday.,請在週一前確認出席。,
consolidate,合併；鞏固,They decided to consolidate their offices.,他們決定合併辦公室。,
consultant,顧問,We hired a consultant to improve efficiency.,我們聘請顧問來提升效率。,
consumer,消費者,Consumer feedback helps improve products.,消費者的回饋有助於改進產品。,
contract,合約；契約,The contract will be signed next week.,合約將於下週簽署。,
contribute,貢獻；捐助,He contributed valuable insights at the meeting.,他在會議中提供了寶貴的見解。,
corporate,企業的,Corporate culture influences employee morale.,企業文化影響員工士氣。,
debtor,債務人,The debtor made the first payment today.,債務人今天支付了第一筆款項。,
deficit,赤字；不足,The budget deficit increased this quarter.,本季度預算赤字增加了。,
delegate,代表；委派,She will delegate tasks to her team.,她將把任務委派給團隊。,
deliver,交付；傳達,The courier will deliver the package tomorrow.,快遞員明天會送達包裹。,
deposit,存款；押金,You need to pay a security deposit.,你需要支付押金。,
designate,指定；選定,He was designated as the new manager.,他被指定為新經理。,
destination,目的地,Our vacation destination is Bali.,我們的度假目的地是峇里島。,
determine,決定；確定,We must determine the cause of the problem.,我們必須確定問題的原因。,
discrepancy,差異；不符,There is a discrepancy in the financial report.,財務報告中存在差異。,
distribute,分發；分配,The company will distribute free samples.,公司將分發免費樣品。,
diverse,多樣的；多元的,The team has a diverse skill set.,團隊具備多元的技能組合。,
efficient,有效率的,The new software is more efficient.,這款新軟體更有效率。,
elaborate,詳細說明；精心製作,Please elaborate on your proposal.,請詳細說明你的提案。,
eligible,有資格的,Only eligible employees can apply for the bonus.,只有符合資格的員工才能申請獎金。,
emerge,浮現；出現,New challenges continue to emerge.,新的挑戰不斷出現。,
,參與；吸引,The campaign engaged thousands of users.,該活動吸引了數千名用戶。,engage
ensure,確保,Please ensure all doors are locked.,請確保所有門都已上鎖。,
enterprise,企業；事業,The enterprise expanded into Asia.,該企業拓展至亞洲市場。,
entrepreneur,企業家,She is a successful entrepreneur.,她是一位成功的企業家。,
equivalent,等同的；相等的,One dollar is roughly equivalent to 30 TWD.,一美元約等於30新台幣。,
escalate,升級；加劇,Prices escalated due to high demand.,由於需求旺盛，價格上漲。,
establish,建立；設立,They established a new branch in Tokyo.,他們在東京成立了新分公司。,
estimate,估計；估價,We estimate the project will take six months.,我們估計該專案需要六個月。,
evaluate,評估；估價,The committee will evaluate the proposals.,委員會將評估各項提案。,
exceed,超過；勝過,Sales exceeded expectations this quarter.,本季度銷售超過預期。,
execute,執行；實行,The plan was executed flawlessly.,計畫執行得天衣無縫。,
expansion,擴張；擴大,The company announced its expansion plans.,公司公布了擴張計畫。,
expire,到期；終止,Your subscription will expire tomorrow.,你的訂閱將於明天到期。,
facilitate,促進；使容易,Good communication facilitates teamwork.,良好的溝通促進團隊合作。,
feasible,可行的；行得通,The proposal is both practical and feasible.,該提案既實用又可行。,
finance,財務；資金,She works in the finance department.,她在財務部工作。,
fluctuate,波動；起伏,Exchange rates fluctuate daily.,匯率每天都在波動。,
forecast,預測；預報,The weather forecast predicts rain.,天氣預報預測會下雨。,
generate,產生；創造,The campaign generated a lot of interest.,該活動引起了廣泛關注。,
implement,實施；執行,The company will implement new policies.,公司將實施新政策。,
incentive,激勵；動機,Bonuses serve as an incentive for employees.,獎金作為員工的激勵。,
