abandon,拋棄,He decided to abandon the car on the roadside.,他決定把車子拋棄在路邊。
ability,能力,She has the ability to solve complex problems.,她有能力解決複雜的問題。
about,關於,She is talking about her vacation.,她正在談論她的假期。
above,在...之上,The picture hangs above the sofa.,那幅畫掛在沙發上方。
accept,接受,He accepted the job offer.,他接受了那份工作機會。
accident,意外,There was a car accident on the highway.,高速公路上發生了一場車禍。
across,橫越,He ran across the street.,他跑過街道。
act,行動,They must act quickly to help.,他們必須迅速採取行動。
active,活躍的,He is very active in school activities.,他在學校活動中非常活躍。
actor,演員,He is a famous actor in Hollywood.,他是好萊塢著名的演員。
add,添加,Please add more sugar to the tea.,請在茶裡多加一些糖。
address,地址,What is your mailing address?,你的郵寄地址是什麼？
adult,成年人,Only adults are allowed to watch this movie.,只有成年人可以看這部電影。
advice,建議,She gave me good advice.,她給了我好的建議。
afraid,害怕的,He is afraid of snakes.,他害怕蛇。
after,在…之後,We will go shopping after lunch.,午餐後我們會去購物。
afternoon,下午,Let’s meet this afternoon.,我們今天下午見面吧。
again,再一次,Try again until you succeed.,一直嘗試直到成功為止。
age,年齡,What is your age?,你幾歲？
ago,以前,I met him two years ago.,我兩年前遇見他。
agree,同意,I agree with your suggestion.,我同意你的建議。
air,空氣,The air is fresh in the mountains.,山裡的空氣很清新。
airplane,飛機,She travels by airplane.,她搭飛機旅行。
airport,機場,They arrived at the airport early.,他們提早到了機場。
alarm,鬧鐘,The alarm went off at 6 a.m.,鬧鐘在早上六點響了。
all,所有的,All students must attend the meeting.,所有學生都必須參加會議。
allow,允許,We don’t allow smoking here.,這裡不允許抽菸。
almost,幾乎,He almost fell down.,他差點跌倒。
alone,單獨的,She lives alone.,她獨自生活。
along,沿著,They walked along the river.,他們沿著河邊散步。
already,已經,I already finished my homework.,我已經完成作業了。
also,也,She also likes music.,她也喜歡音樂。
always,總是,He always arrives on time.,他總是準時到達。
amazing,驚人的,The performance was amazing.,這場表演非常精彩。
America,美國,She lives in America.,她住在美國。
among,在…之中,He is popular among his classmates.,他在同學中很受歡迎。
and,和,Tom and Jerry are friends.,湯姆和傑瑞是朋友。
angry,生氣的,He was angry about the delay.,他因為延誤而生氣。
animal,動物,Lions are wild animals.,獅子是野生動物。
another,另一個,Can I have another piece of cake?,我可以再來一塊蛋糕嗎？
answer,回答,Please answer the question.,請回答這個問題。
any,任何的,You can take any book.,你可以拿任何一本書。
anyone,任何人,Anyone can join the game.,任何人都可以參加這個遊戲。
anything,任何事物,I’ll do anything for you.,我願意為你做任何事。
apartment,公寓,They live in an apartment.,他們住在一間公寓裡。
apple,蘋果,She ate an apple.,她吃了一顆蘋果。
area,區域,This is a safe area.,這是一個安全的區域。
arm,手臂,He broke his arm.,他摔斷了手臂。
around,周圍,Look around you.,看看你周圍。
arrive,到達,They arrived late.,他們遲到了。
art,藝術,I love modern art.,我喜歡現代藝術。
article,文章,I read an article online.,我在網路上讀了一篇文章。
artist,藝術家,She is a talented artist.,她是一位有才華的藝術家。
as,如同/因為,She is as tall as her brother.,她和她哥哥一樣高。
ask,詢問,Can I ask you something?,我可以問你一些事嗎？
at,在,He is at school.,他在學校。
attack,攻擊,The city was under attack.,那座城市遭到攻擊。
aunt,阿姨,My aunt is visiting us.,我阿姨來拜訪我們。
autumn,秋天,Autumn is my favorite season.,秋天是我最喜歡的季節。
away,離開的,She went far away from home.,她離家很遠。
baby,嬰兒,The baby is sleeping.,嬰兒正在睡覺。
back,背部；返回,I’ll be back soon.,我很快就回來。
bad,壞的,He had a bad day.,他今天過得很糟。
bag,袋子,She bought a new bag.,她買了一個新包。
ball,球,They played with a ball.,他們玩球。
banana,香蕉,He peeled the banana.,他剝了香蕉。
bank,銀行,She went to the bank.,她去了銀行。
baseball,棒球,He is a baseball player.,他是個棒球選手。
basket,籃子,She put the eggs in a basket.,她把雞蛋放進籃子裡。
bathroom,浴室,The bathroom is clean.,浴室很乾淨。
be,是,I want to be a teacher.,我想成為一名老師。
beach,海灘,We walked on the beach.,我們走在海灘上。
beautiful,美麗的,The sunset was beautiful.,夕陽很美。
because,因為,I’m late because of the rain.,我因為下雨而遲到。
become,變成,He wants to become a doctor.,他想成為醫生。
bed,床,She is in bed.,她在床上。
bedroom,臥室,Her bedroom is pink.,她的臥室是粉紅色的。
beer,啤酒,He drank a glass of beer.,他喝了一杯啤酒。
before,在?之前,Wash your hands before eating.,吃飯前請洗手。
begin,開始,Let’s begin the class.,讓我們開始上課吧。
behind,在?後面,The cat is behind the sofa.,貓在沙發後面。
believe,相信,I believe in you.,我相信你。
bell,鈴,The bell rang loudly.,鈴聲大響。
below,在?下面,The temperature is below zero.,氣溫在零度以下。
best,最好的,She is my best friend.,她是我最好的朋友。
better,更好的,This one is better.,這個更好。
between,在...之間,The ball is between the boxes.,球在箱子之間。
beyond,超過,The road continues beyond the village.,這條路延伸到村莊之外。
bicycle,腳踏車,He rides a bicycle to school.,他騎腳踏車上學。
big,大的,He has a big house.,他有一棟大房子。
bird,鳥,A bird is singing outside.,外面有隻鳥在唱歌。
birthday,生日,My birthday is in July.,我生日在七月。
black,黑色的,He wore a black shirt.,他穿著黑襯衫。
blanket,毯子,She covered the baby with a blanket.,她用毯子蓋住嬰兒。
block,街區,He lives a block away.,他住在一個街區之外。
blue,藍色的,The sky is blue.,天空是藍色的。
boat,船,We went fishing by boat.,我們搭船去釣魚。
body,身體,She has a healthy body.,她有個健康的身體。
book,書,I borrowed a book from the library.,我從圖書館借了一本書。
bored,無聊的,He felt bored at home.,他在家裡覺得無聊。
both,兩者都,Both of them passed the test.,他們兩個都通過了測驗。
bottle,瓶子,He drank a bottle of water.,他喝了一瓶水。
bottom,底部,The keys are at the bottom of the bag.,鑰匙在袋子的最底部。
box,盒子,She opened the box.,她打開了那個盒子。
boy,男孩,The boy is playing in the park.,那個男孩正在公園玩。
brain,大腦,Use your brain to solve the puzzle.,用你的腦子解這個謎題。
branch,樹枝；分行,The bird sat on a tree branch.,鳥兒坐在樹枝上。
brave,勇敢的,The firefighter was very brave.,消防員非常勇敢。
bread,麵包,She baked some fresh bread.,她烤了些新鮮的麵包。
break,打破；休息,Don’t break the glass.,不要打破玻璃。
breakfast,早餐,I had toast for breakfast.,我早餐吃了吐司。
breathe,呼吸,Take a deep breath and relax.,深呼吸並放鬆。
bridge,橋,We crossed the old bridge.,我們走過那座老橋。
bright,明亮的,The room is bright and clean.,房間明亮又乾淨。
bring,帶來,Don’t forget to bring your homework.,別忘了帶作業。
brother,兄弟,My brother is older than me.,我的哥哥比我大。
brown,棕色的,She wore a brown jacket.,她穿著棕色的外套。
build,建造,They will build a new school.,他們要蓋一所新學校。
